cats,Freq,CategoryPolly,Notes
ABBEY,7,ECC,
ACCOMMODATION BRIDGE,2,omit,
AGAPEMONE,1,ECC,?
AGRICULTURAL BUILDING,1,AGR,
AGRICULTURAL HALL,1,AGR,
AGRICULTURE AND SUBSISTENCE,1,AGR,
AIR RAID SHELTER,9,omit,
AIR TERMINAL,2,TRANS,
AIRCRAFT,1,omit,
AIRCRAFT FACTORY,3,MAN,
AIRCRAFT HANGAR,2,TRANS,
AIRFIELD,1,omit,
AIRMENS INSTITUTE,1,PUBINST,
AISLED BARN,5,AGR,
ALE STORE,2,COM,also AGR
ALLEY,3,omit,
ALMSHOUSE,108,HOUSING,
ALTAR,2,omit,Looks like Monument
ALTAR TOMB,7,omit,Looks like Monument
AMBULANCE STATION,2,PUBINST,
AMUSEMENT ARCADE,1,ENT,
ANDERSON SHELTER,1,omit,
ANGLICAN CHURCH,72,ECC,
ANIMAL HOUSE,2,ZOO,
ANIMAL SANCTUARY,1,ZOO,
ANTI AIRCRAFT BATTERY,2,omit,
ANTI AIRCRAFT GUN EMPLACEMENT,1,omit,
APARTMENT,300,HOUSING,
APPROACH ROAD,1,omit,
AQUARIUM,1,ZOO,
ARBOUR,1,omit,
ARCH,163,omit,
ARCH BRIDGE,7,omit,
ARCHBISHOPS PALACE,5,ECC,
ARCHITECTURAL FRAGMENT,34,omit,
ARCHITECTURE SCHOOL,2,EDU,
ARMOURY,4,MIL,will be part of palace I imagine
ARSENAL,7,MIL,
ART GALLERY,31,PUBINST,
ART SCHOOL,7,EDU,
ARTIFICIAL MOUND,1,omit,
ARTISTS STUDIO,49,MAN,
ARTS CENTRE,13,PUBINST,
ASSEMBLY HALL,6,PUBINST,
ASSEMBLY ROOMS,2,PUBINST,
ATMOSPHERIC RAILWAY ENGINE HOUSE,1,TRANS,
AUCTION HOUSE,4,COM,
AUGUSTINIAN FRIARY,1,ECC,
AUGUSTINIAN MONASTERY,6,ECC,
AVIARY,3,ZOO,
BACK TO BACK HOUSE,2,HOUSING,
BAKEHOUSE,2,MAN,
BAKERY,6,MAN,
BALLET SCHOOL,2,EDU,
BALLOON SHED,1,TRANS,
BALLROOM,13,omit,imagine always just a room included within a building?
BALUSTRADE,76,omit,
BANDSTAND,7,omit,
BANK (FINANCIAL),135,COM,
BANQUETING HOUSE,10,PUBINST,
BAPTIST CHAPEL,34,ECC,
BAPTISTERY,1,ECC,
BAR (LICENCED),1,ENT,
BARN,53,AGR,
BARRACKS,28,MIL,
BASCULE BRIDGE,1,omit,
BASEMENT,3,omit,
BASTION,2,omit,think would omit these bath entries
BATH HOUSE,3,omit,
BATHS,23,omit,
BATTLEFIELD,36,omit,
BEAM ENGINE,6,omit,
BEAM ENGINE HOUSE,5,IND,
BEE BOLE,1,omit,
BEER SHOP,1,COM,
BELL FOUNDRY,1,MAN,
BELL TOWER,4,omit,
BELVEDERE,3,GAR,
BENCH,5,omit,
BENEDICTINE MONASTERY,3,ECC,
BENEDICTINE NUNNERY,2,ECC,
BETTING OFFICE,1,COM,
BIER HOUSE,1,ECC,
BILLIARD HALL,8,SPORT,
BINDERY,1,MAN,
BINGO HALL,15,ENT,
BISHOPS PALACE,5,ECC,
BLACKSMITHS WORKSHOP,5,MAN,
BLAST WALL,1,omit,
BOARD SCHOOL,51,EDU,
BOARDING SCHOOL,3,EDU,
BOAT HOUSE,12,TRANS,
BOAT STORE,1,TRANS,
BOAT YARD,2,TRANS,Possibly omit
BOATING LAKE,1,omit,
BOILER HOUSE,26,IND,
BOILER SHOP,1,IND,
BOILER WORKS,1,IND,
BOLLARD,153,omit,
BONDED WAREHOUSE,1,IND,
BOOKING OFFICE,39,TRANS,
BOOT SCRAPER,2,omit,
BOTANIC GARDEN,4,omit,
BOTTLE KILN,1,omit,
BOTTLING PLANT,1,IND,
BOUNDARY,1,omit,
BOUNDARY MARKER,22,omit,
BOUNDARY PLATE,1,omit,
BOUNDARY POST,12,omit,
BOUNDARY STONE,19,omit,
BOUNDARY WALL,283,omit,
BOWLING GREEN,1,omit,
BOWLING GREEN PAVILION,2,SPORT,
BOXING ARENA,1,SPORT,
BRASS FOUNDRY,1,IND,
BRASS WORKS,1,IND,
BREWERY,34,IND,
BREWHOUSE,4,MAN,
BRICK KILN,1,omit,
BRIDGE,63,omit,
BRIDGE KEEPERS COTTAGE,1,HOUSING,
BRIDGETTINE DOUBLE HOUSE,1,HOUSING,
BRITISH AND FOREIGN SOCIETY SCHOOL,3,EDU,
BRITISH LEGION HALL,1,PUBINST,
BROADCASTING TRANSMITTER,1,omit,
BUDDHIST TEMPLE,1,ECC,
BUFFET,1,omit,
BUILDERS MERCHANTS,2,COM,
BUILDERS YARD,1,COM,omit if just yard
BUILDING,217,unknown,need to check these- just send over
BUNGALOW,7,HOUSING,
BURIAL VAULT,4,omit,
BUS DEPOT,3,TRANS,
BUS SHELTER,1,omit,
BUS STATION,2,TRANS,
BUST,24,omit,
BUTCHERS SHOP,11,COM,
BUTTERY,2,MAN,
CABARET,1,ENT,
CABMENS SHELTER,9,TRANS,
CAFE,27,COM,
CALVINISTIC METHODIST CHAPEL,1,ECC,
CAMEL HOUSE,1,ZOO,
CANAL,1,omit,
CANAL BASIN,2,omit,
CANAL BRIDGE,11,omit,
CANAL LOCK,3,omit,
CANAL OFFICE,1,TRANS,
CANAL TUNNEL,2,omit,
CANAL TUNNEL PORTAL,2,omit,
CANAL WAREHOUSE,2,IND,
CANAL WHARF,2,IND,
CANAL WORKERS COTTAGE,1,HOUSING,
CANNON,6,omit,
CANNON BOLLARD,28,omit,
CANOPIED TOMB,5,omit,
CANTEEN,6,COM,depends what attached to. Ignore unless sep building
CANTILEVER BRIDGE,2,omit,
CAPSTAN,4,omit,
CAR FACTORY,1,MAN,
CAR PARK,4,TRANS,
CARMELITE FRIARY,1,ECC,
CARMELITE NUNNERY,2,ECC,
CARPENTERS WORKSHOP,6,MAN,
CARRIAGE HOUSE,3,TRANS,
CARRIAGE WORKS,3,TRANS,
CARRIAGEWAY,3,omit,
CART SHED,4,TRANS,
CARTHUSIAN MONASTERY,2,ECC,
CASCADE,3,omit,
CASINO,2,ENT,
CATACOMB (FUNERARY),12,omit,
CATHEDRAL,3,ECC,
CATHOLIC APOSTOLIC CHURCH,2,ECC,
CATTLE TROUGH,29,omit,
CAUSEWAY,3,omit,
CELL BLOCK,3,PUBINST,
CELLAR,8,omit,
CELLARERS RANGE,2,MAN,
CEMETERY,87,omit,
CEMETERY CHAPEL,21,ECC,
CEMETERY LODGE,12,ECC,
CENOTAPH,2,omit,
CHAIN LOCKER SHOP,1,COM,
CHAIN SHOP,1,COM,
CHAMBER OF COMMERCE,1,PUBINST,
CHANDLERY,1,MAN,
CHANGING ROOMS,5,SPORT,
CHANTRY CHAPEL,2,ECC,
CHAPEL,29,ECC,
CHAPEL OF EASE,13,ECC,Imagine connected to church?
CHAPLAINCY,4,ECC,
CHAPTER HOUSE,6,ECC,
CHARITY SCHOOL,7,EDU,
CHARNEL HOUSE,1,ECC,
CHAUFFEURS FLAT,3,HOUSING,
CHEMICAL WORKS,1,IND,
CHEMISTS SHOP,5,COM,
CHEST TOMB,193,omit,
CHILDRENS CARE HOME,1,PUBINST,
CHILDRENS HOME,7,PUBINST,
CHILDRENS HOSPITAL,6,PUBINST,
CHILDRENS PLAYGROUND,9,omit,
CHIMNEY,23,omit,
CHOIR SCHOOL,3,EDU,also ECC
CHRISTIAN ASSOCIATION HOSTEL,4,PUBINST,
CHRISTIAN SCIENCE CHURCH,3,ECC,
CHURCH,460,ECC,
CHURCH HALL,61,ECC,
CHURCH HOUSE,7,ECC,
CHURCH INSTITUTE,5,ECC,
CHURCH SCHOOL,49,EDU,
CINEMA,62,ENT,
CINERARY URN,1,omit,
CIRCUS (URBAN),1,ENT,
CISTERN,8,omit,
CIVIC CENTRE,2,PUBINST,
CIVIL DEFENCE BUILDING,1,PUBINST,
CLASSROOM,14,omit,or EDU if independent building
CLEARING HOUSE,2,COM,
